Transfer Institution,Transfer Crs,Title,BU Equiv Crs,Catalog Year
,16266,Upper Extrem Lab,EXSC ELE,UG14
89045  Adams State College,HGP  179,Citizenship/Community Service,GEN. ELE,UG12
89045  Adams State College,ID   179,College Options,GEN. ELE,UG12
89637  Aims Community College,BIO  105,Science of Biology,BIOL GER,UG11
89637  Aims Community College,CIS  118,Intro to PC Applications,C.S. 116,UG11
89637  Aims Community College,CSL  111,Basic Human Potential Seminar,GEN. ELE,UG11
89637  Aims Community College,EDU  158,Laughter - The Best Medicine,GEN. ELE,UG11
89637  Aims Community College,ENG  122,English Compostion II,ENGL ELE,UG11
89637  Aims Community College,HIS  101,Western Civilization I,HIST 116,UG11
89637  Aims Community College,HIS  201,US History I,HIST 201,UG11
89637  Aims Community College,HUM  121,Survey of Humanities I,HUM. ELE,UG11
89637  Aims Community College,PHI  111,Intro to Philosophy,PHIL 160,UG11
89637  Aims Community College,POS  105,Intro to Political Science,P.S. ELE,UG11
89637  Aims Community College,PSY  101,General Psychology I,PSYC 103,UG11
89637  Aims Community College,PSY  102,General Psychology II,PSYC ELE,UG11
89637  Aims Community College,PSY  235,Developmental Psychology,PSYC 218,UG11
89637  Aims Community College,PSY  278,Psych of Criminal Behavior,PSYC ELE,UG11
89637  Aims Community College,PSY  279,Abuse in Relationships,PSYC ELE,UG11
89637  Aims Community College,SPA  101,Conversational Spanish I,SPAN 101,UG11
89637  Aims Community College,SPE  115,Public Speaking,COMM 103,UG11
1058641  American Public University,COLL 100,Foundations of Online Learning,GEN. ELE,UG12
1058641  American Public University,COLL 100,Foundations of Online Learning,GEN. ELE,UG13
1058641  American Public University,COLL 100,Foundations of Online Learning,GEN. ELE,UG14
1058641  American Public University,ECON 101,Microeconomics,ECON 111,UG13
1058641  American Public University,ENGL 101,Proficiency in Writing,ENGL 101,UG13
1058641  American Public University,ENGL 101,Proficiency in Writing,ENGL 101,UG14
1058641  American Public University,ENGL 101,Proficiency in Writing,ENGL 101,UG12
1058641  American Public University,ENGL 102,Effectiveness in Writing,ENGL ELE,UG12
1058641  American Public University,ENGL 102,Effectiveness in Writing,ENGL ELE,UG13
1058641  American Public University,HIST 101,American History to 1877,HIST 201,UG13
1058641  American Public University,HIST 102,American History Since 1877,HIST 202,UG13
1058641  American Public University,LITR 221,Amer Lit from the Civil War to,ENGL GER,UG13
1058641  American Public University,MATH 110,College Algebra,MATH 105,UG12
1058641  American Public University,MATH 110,College Algebra,MATH 105,UG14
1058641  American Public University,PHIL 101,Introduction to Philosophy,PHIL 160,UG12
1058641  American Public University,SCIN 132,Intro to Human Anatomy & Phys,BIOL 108,UG13
71908  Anderson University,BIBL2000,Intro to The Bible,THEO ELE,UG14
